,smiles,nm_exp,nm_wf,nm_wfr,nm_b3lyp_tdb3lyp,nm_xtb_b3lyp,nm_xtb_tda,nm_xtb_b3lyp_tda
0,C=CC(=O)C,214.0,215,212,199.9,199.1,172.2,188.5
1,C=CC(=O)CCCCCCCCCC,212.0,215,212,211.2,210.3,182.4,205.8
2,C=CC(=O)CC1CCCCC1,213.0,215,212,220.8,222.6,185.4,222.4
3,C=CC(=O)CC1=CC=CC=C1,210.0,215,212,271.5,269.1,205.6,268.0
4,C=CC(=O)C1CCCCC1,212.0,215,212,218.2,212.6,173.6,212.3
5,C=CC(=O)C1CCC2(CC1)OCCO2,214.0,215,212,262.9,258.0,174.2,257.9
6,C=CC(=O)C1CCCCCC1,212.5,215,212,218.3,215.5,172.4,214.3
7,C=C1CCCC1=O,231.0,230,228,226.0,226.8,191.4,213.8
8,C=C1CCCCC1=O,230.0,230,228,226.2,225.7,184.6,217.1
9,C=C1CCCCCC1=O,230.0,230,228,224.4,223.6,184.5,214.6
10,C=C1C[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C(=O)C[C@]2(C)C1=O)OC(=O)C,228.0,230,228,299.8,300.6,242.5,299.0
11,C=C1C[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3[C@H](C[C@]2(C)C1=O)O)O,227.0,230,228,241.3,245.1,188.0,244.9
12,C1CCC(=C2CCCC2=O)C1,259.0,242,247,245.1,245.1,203.7,230.0
13,C1CCC(=C2CCCCC2=O)CC1,257.0,242,243,255.6,255.9,206.0,242.8
14,CCCCCCCC[C@H]1CC(=O)C2=C3CC[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)C,257.0,242,247,248.5,251.6,202.1,237.0
15,CCCCCCCC[C@H]1C[C@H](C2=C3[C@H](CC[C@]12C)[C@@]4(C)CC[C@@H](C[C@@H]4CC3=O)OC(=O)C)OC(=O)C,256.0,260,250,,260.7,197.8,252.4
16,CCCCCCCC[C@H]1C[C@@H](C2=C3[C@H](CC[C@]12C)[C@@]4(C)CC[C@@H](C[C@@H]4CC3=O)OC(=O)C)OC(=O)C,257.0,260,250,,266.4,199.1,256.0
17,CC(=O)C1=C(C)CCCC1,247.0,237,238,237.8,242.5,198.6,224.0
18,CC(C)=C1CCC(C)CC1=O,252.0,242,247,246.9,241.8,195.0,235.8
19,CC1=CC(=O)CC(C)(C)C1,235.0,227,227,219.4,219.3,184.0,208.1
20,CC1=C2CCCCC2CCC1=O,239.0,242,243,241.0,241.6,194.7,229.6
21,CC(=C1CCCCC1)C(=O)C,242.0,242,247,244.1,243.2,194.8,232.9
22,C[C@@H]1CCC(=C(C)C)C(=O)C1,252.0,242,247,246.9,246.0,195.1,235.8
23,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C(C(=O)CC[C@]34C)Br)C,256.0,257,270,,273.9,198.5,263.4
24,CC12CCC(=O)C(Br)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,254.0,257,270,293.6,291.8,241.8,290.5
25,CC1=C(C(=O)C(CC1)C(C)C)O,270.0,262,265,262.6,264.3,205.6,262.1
